name,type,address,region,sido,sigungu,lat,lng,precision,opened,note,source_url,matched
인천22센터,풀필먼트센터,"인천 서구 원창동 394-20, 1층",인천·경기북부,인천광역시,서해구,37.503795,126.616847,,,신선 센터,,인천 서해구 원창동 394-20
인천37센터,풀필먼트센터,인천 서구 원창동 391-9,인천·경기북부,인천광역시,서해구,37.512429,126.629789,,,신선 센터,,인천 서해구 원창동 391-9
인천39센터,풀필먼트센터,인천 중구 축항대로 165번길 20 1-3층,인천·경기북부,인천광역시,제물포구,37.454031,126.617034,,,신선 센터,,인천 제물포구 축항대로165번길 20
인천40센터,풀필먼트센터,인천 서해구 경서동 1079-2,인천·경기북부,인천광역시,서해구,37.557202,126.619401,,,신선 센터,,
인천48센터,풀필먼트센터,인천 중구 항동7가 95-3,인천·경기북부,인천광역시,제물포구,37.450692,126.615399,,,신선 센터,,인천 제물포구 항동7가 95-3
부천2센터,풀필먼트센터,경기도 부천시 오정구 신흥로 511번길 112,인천·경기북부,경기도,부천시오정구,37.531153,126.771622,,,신선 센터,,경기 부천시 오정구 신흥로511번길 112
시흥1센터,풀필먼트센터,"경기도 시흥시 만해로 43, 로지스코 시흥 (1-2층)",인천·경기북부,경기도,시흥시,37.331803,126.747216,,,신선 센터,,경기 시흥시 만해로 43
천안1센터,풀필먼트센터,충청남도 천안시 서북구 입장면 용정리 2길22,중남부,충청남도,천안시서북구,36.921418,127.185346,,,,,충남 천안시 서북구 입장면 용정리2길 22
천안2센터,풀필먼트센터,충청남도 천안시 서북구 성거읍 오목리 106-8,중남부,충청남도,천안시서북구,36.899076,127.213578,,,,,
천안3센터,풀필먼트센터,충청남도 천안시 서북구 성거읍 오목리 106-8,중남부,충청남도,천안시서북구,36.899363,127.214128,,,,,
천안6센터,풀필먼트센터,충남 천안시 서북구 입장면 용정도하길 181,중남부,충청남도,천안시서북구,36.923478,127.184446,,,,,충남 천안시 서북구 입장면 용정도하길 181
천안8센터,풀필먼트센터,충청남도 천안시 서북구 입장면 용정도하길 495,중남부,충청남도,천안시서북구,36.939679,127.175663,,,,,충남 천안시 서북구 입장면 용정도하길 495
창원1센터,풀필먼트센터,경상남도 창원시 진해구 두동로 33(3층),중남부,경상남도,창원시진해구,35.122394,128.800445,,,,,경남 창원시 진해구 두동로 33
창원2센터,풀필먼트센터,경상남도 창원시 진해구 두동로 34 (B동 1~2F),중남부,경상남도,창원시진해구,35.121684,128.802301,,,신선 센터,,경남 창원시 진해구 두동로 34
창원3센터,풀필먼트센터,경상남도 창원시 진해구 두동로 34,중남부,경상남도,창원시진해구,35.121684,128.802301,,,,,경남 창원시 진해구 두동로 34
창원4센터,풀필먼트센터,경상남도 창원시 진해구 두동로 33,중남부,경상남도,창원시진해구,35.122394,128.800445,,,,,경남 창원시 진해구 두동로 33
대구1센터,풀필먼트센터,"경북 칠곡군 지천면 연화리 700, 10동",중남부,경상북도,칠곡군,35.957350,128.450601,,,상온 센터,,경북 칠곡군 지천면 연화리 700
대구2센터,풀필먼트센터,"경북 칠곡군 지천면 연화리 700, 9동",중남부,경상북도,칠곡군,35.957350,128.450601,,,,,경북 칠곡군 지천면 연화리 700
대구3센터,풀필먼트센터,대구 달성군 구지면 응암리 1280,중남부,대구광역시,달성군,35.650501,128.431940,,,상온 센터,,대구 달성군 구지면 응암리 1280
대구4센터,풀필먼트센터,경상북도 칠곡군 지천면 산단터널로 236-19,중남부,경상북도,칠곡군,35.953333,128.442993,,,신선 센터,,경북 칠곡군 지천면 산단터널로 236-19
대구6센터,풀필먼트센터,"경북 칠곡군 지천면 연화리 700, 8동",중남부,경상북도,칠곡군,35.957350,128.450601,,,상온 센터,,경북 칠곡군 지천면 연화리 700
